Fecha,Precipitacion,Temperatura,Caudal_Real,Inercia_3meses,Mes,Caudal_IA
1992-09-01,65.87666666666668,24.799999999999997,,45.807777777777765,9,34.81416666666668
1992-10-01,36.406666666666666,24.833333333333332,,47.19999999999999,10,27.3075
1992-11-01,41.27,23.863333333333333,,47.8511111111111,11,32.821666666666665
1992-12-01,33.29,22.656666666666666,,36.98888888888888,12,30.136666666666677
1993-01-01,42.96,22.203333333333333,,39.173333333333325,1,47.085
1993-02-01,29.413333333333338,22.076666666666668,,35.2211111111111,2,46.43500000000002
1993-03-01,52.53666666666667,22.939999999999998,,41.63666666666666,3,32.25583333333333
1993-04-01,81.83666666666666,23.36,,54.59555555555554,4,52.92333333333333
1993-05-01,116.66000000000001,24.040000000000003,,83.67777777777776,5,150.47499999999997
1993-06-01,57.416666666666664,25.176666666666666,,85.30444444444443,6,80.34083333333334
1993-07-01,44.333333333333336,25.373333333333335,,72.80333333333333,7,38.78916666666667
1993-08-01,45.403333333333336,25.633333333333336,,49.051111111111105,8,36.06416666666668
1993-09-01,47.166666666666664,25.246666666666666,,45.63444444444443,9,33.49333333333335
1993-10-01,32.556666666666665,25.060000000000002,,41.70888888888888,10,23.86666666666667
1993-11-01,54.32,24.176666666666666,,44.6811111111111,11,41.345833333333346
1993-12-01,20.933333333333334,23.23,,35.93666666666666,12,21.095833333333324
1994-01-01,22.976666666666663,22.459999999999997,,32.74333333333332,1,43.030000000000015
1994-02-01,24.623333333333335,22.746666666666666,,22.844444444444434,2,17.389166666666664
1994-03-01,38.76666666666667,22.86,,28.78888888888888,3,28.611666666666665
1994-04-01,57.89000000000001,23.653333333333332,,40.42666666666666,4,27.684166666666666
1994-05-01,61.06,24.55,,52.572222222222216,5,47.54083333333333
1994-06-01,23.689999999999998,25.310000000000002,,47.54666666666666,6,25.561666666666664
1994-07-01,21.296666666666667,25.546666666666667,,35.34888888888888,7,22.18
1994-08-01,32.53666666666667,25.84,,25.841111111111104,8,21.21416666666666
1994-09-01,40.669999999999995,25.463333333333335,,31.5011111111111,9,21.68249999999999
1994-10-01,68.36333333333333,24.656666666666666,,47.18999999999999,10,47.04333333333334
1994-11-01,35.72,24.066666666666666,,48.2511111111111,11,27.06916666666667
1994-12-01,24.91,23.183333333333337,,42.99777777777777,12,26.44000000000001
1995-01-01,14.450000000000001,22.52666666666667,,25.026666666666657,1,21.213333333333335
1995-02-01,40.54333333333333,22.71666666666667,,26.634444444444437,2,28.77416666666666
1995-03-01,30.19333333333334,22.423333333333336,,28.395555555555546,3,41.63916666666668
1995-04-01,27.993333333333336,24.076666666666668,,32.90999999999999,4,19.735833333333325
1995-05-01,54.69,24.99666666666667,,37.62555555555554,5,38.30416666666667
1995-06-01,36.34,25.76,,39.67444444444444,6,28.91333333333333
1995-07-01,48.24333333333334,26.00666666666667,,46.42444444444444,7,34.51083333333334
1995-08-01,76.92333333333333,25.713333333333335,,53.835555555555544,8,33.50833333333333
1995-09-01,75.64999999999999,25.50333333333333,,66.93888888888887,9,41.89166666666667
1995-10-01,47.66,24.669999999999998,,66.74444444444443,10,38.9375
1995-11-01,25.736666666666665,24.173333333333336,,49.68222222222221,11,31.312500000000004
1995-12-01,19.966666666666665,23.430000000000003,,31.1211111111111,12,21.09416666666666
1996-01-01,24.570000000000004,22.38,,23.424444444444436,1,26.717499999999994
1996-02-01,38.09,22.483333333333334,,27.54222222222221,2,34.89499999999999
1996-03-01,50.946666666666665,22.826666666666664,,37.86888888888888,3,38.36583333333333
1996-04-01,43.69333333333333,23.21666666666667,,44.24333333333332,4,30.353333333333325
1996-05-01,65.56333333333333,24.296666666666667,,53.4011111111111,5,51.98499999999999
1996-06-01,52.156666666666666,24.94333333333334,,53.804444444444435,6,40.28416666666667
1996-07-01,43.876666666666665,25.3,,53.865555555555545,7,33.782500000000006
1996-08-01,48.73666666666667,25.41333333333333,,48.25666666666666,8,39.000000000000014
1996-09-01,74.06666666666666,25.203333333333333,,55.559999999999995,9,39.05000000000001
1996-10-01,48.620000000000005,24.78333333333333,,57.14111111111111,10,36.67583333333334
1996-11-01,72.76,23.333333333333332,,65.14888888888889,11,58.11833333333332
1996-12-01,16.816666666666666,21.766666666666666,,46.065555555555555,12,38.43416666666666
1997-01-01,20.926666666666666,22.38,,36.834444444444436,1,44.45000000000001
1997-02-01,21.599999999999998,22.853333333333335,,19.7811111111111,2,11.953333333333337
1997-03-01,24.906666666666666,23.353333333333335,,22.47777777777777,3,12.738333333333337
1997-04-01,23.540000000000003,24.13666666666667,,23.34888888888888,4,15.145833333333332
1997-05-01,40.59333333333334,25.253333333333334,,29.679999999999996,5,18.53999999999999
1997-06-01,41.77,25.953333333333333,,35.301111111111105,6,24.47
1997-07-01,35.55666666666667,26.093333333333334,,39.306666666666665,7,27.7425
1997-08-01,42.266666666666666,26.189999999999998,,39.86444444444444,8,27.39083333333334
1997-09-01,37.61666666666667,26.400000000000002,,38.47999999999999,9,23.27583333333333
1997-10-01,64.54,25.22,,48.14111111111111,10,43.48
1997-11-01,38.18,24.936666666666667,,46.77888888888888,11,29.120833333333334
1997-12-01,17.959999999999997,24.383333333333336,,40.22666666666666,12,24.48333333333333
1998-01-01,31.290000000000003,23.58666666666667,,29.143333333333327,1,25.27666666666667
1998-02-01,26.976666666666663,23.349999999999998,,25.40888888888888,2,21.91416666666667
1998-03-01,46.51333333333333,23.87,,34.92666666666666,3,33.13583333333334
1998-04-01,31.706666666666667,24.430000000000003,,35.06555555555555,4,19.627499999999984
1998-05-01,62.53666666666667,25.290000000000003,,46.91888888888889,5,48.55833333333334
1998-06-01,50.919999999999995,26.206666666666667,,48.38777777777778,6,39.814166666666665
1998-07-01,36.266666666666666,26.173333333333332,,49.907777777777774,7,33.38666666666667
1998-08-01,62.30666666666667,26.366666666666664,,49.831111111111106,8,37.347500000000004
1998-09-01,130.32000000000002,25.350000000000005,,76.29777777777778,9,130.1716666666667
1998-10-01,67.13,24.743333333333336,,86.58555555555556,10,97.11083333333336
1998-11-01,43.74,23.69333333333333,,80.39666666666666,11,75.32500000000002
1998-12-01,46.32,23.076666666666668,,52.396666666666654,12,54.781666666666666
1999-01-01,23.03333333333333,22.516666666666666,,37.697777777777766,1,45.33916666666667
1999-02-01,26.21666666666667,21.583333333333332,,31.856666666666655,2,49.710000000000015
1999-03-01,44.36333333333334,22.623333333333335,,31.204444444444437,3,42.76916666666668
1999-04-01,21.723333333333333,23.99666666666667,,30.76777777777777,4,19.76333333333333
1999-05-01,64.37333333333333,24.616666666666664,,43.48666666666666,5,30.620833333333334
1999-06-01,88.46999999999998,24.926666666666666,,58.18888888888887,6,57.44999999999998
1999-07-01,39.526666666666664,25.33,,64.12333333333332,7,32.730000000000004
1999-08-01,50.74,25.896666666666665,,59.578888888888876,8,47.49083333333334
1999-09-01,49.703333333333326,25.566666666666666,,46.65666666666666,9,34.90250000000001
1999-10-01,64.89999999999999,24.856666666666666,,55.11444444444442,10,42.57833333333335
1999-11-01,68.68,23.423333333333332,,61.094444444444434,11,66.23999999999997
1999-12-01,24.203333333333333,21.709999999999997,,52.594444444444434,12,49.14250000000002
2000-01-01,23.30333333333333,21.38333333333333,,38.728888888888875,1,46.48166666666669
2000-02-01,16.64,21.963333333333335,,21.382222222222207,2,29.540000000000006
2000-03-01,17.26666666666667,22.183333333333334,,19.069999999999986,3,28.083333333333336
2000-04-01,35.803333333333335,23.656666666666666,,23.23666666666665,4,17.409999999999997
2000-05-01,56.78,24.320000000000004,,36.61666666666665,5,26.6375
2000-06-01,24.843333333333334,25.39,,39.14222222222221,6,29.294999999999995
2000-07-01,29.39,25.953333333333333,,37.00444444444443,7,21.91333333333333
2000-08-01,47.64666666666667,25.903333333333336,,33.95999999999999,8,28.170833333333338
2000-09-01,74.99666666666667,25.24,,50.67777777777777,9,43.67
